timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1734422709083,228,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-56,,true,,3442,949,61,100,null,0,2033,0
1734422711116,228,02_Search,200,,Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-56,text,true,,3442,949,61,100,https://petstore.octoperf.com/actions/Catalog.action,228,0,0
1734422704247,954,01_Open URL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-13,,true,,4987,603,61,100,null,0,6185,715
1734422710432,954,01_Open URL,200,,Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-13,text,true,,4987,603,61,100,https://petstore.octoperf.com/actions/Catalog.action,954,0,715
1734422704377,877,01_Open URL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-32,,true,,4986,603,61,100,null,0,6231,659
1734422710608,877,01_Open URL,200,,Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-32,text,true,,4986,603,61,100,https://petstore.octoperf.com/actions/Catalog.action,877,0,659
1734422706290,230,02_02_Click On Category,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-21,,true,,3662,655,30,100,null,0,5011,0
1734422711301,230,02_02_Click On Category,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-21,text,true,,3662,655,30,100,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=CATS,230,0,0
1734422709316,238,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-36,,true,,3445,952,61,100,null,0,2024,0
1734422711340,238,02_Search,200,,Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-36,text,true,,3445,952,61,100,https://petstore.octoperf.com/actions/Catalog.action,238,0,0
1734422704562,917,01_Open URL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-51,,true,,4986,603,61,100,null,0,6220,687
1734422710781,917,01_Open URL,200,,Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-51,text,true,,4986,603,61,100,https://petstore.octoperf.com/actions/Catalog.action,917,0,687
1734422709436,228,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-17,,true,,3442,949,61,100,null,0,2066,0
1734422711502,228,02_Search,200,,Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-17,text,true,,3442,949,61,100,https://petstore.octoperf.com/actions/Catalog.action,228,0,0
1734422706519,231,02_03_Click on Product Id,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-26,,true,,4119,687,30,100,null,0,5042,0
1734422711561,231,02_03_Click on Product Id,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-26,text,true,,4119,687,30,100,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-FW-02,231,0,0
1734422704804,920,01_Open URL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-31,,true,,4987,603,61,100,null,0,6200,691
1734422711003,920,01_Open URL,200,,Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-31,text,true,,4987,603,61,100,https://petstore.octoperf.com/actions/Catalog.action,920,0,691
1734422709700,238,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-55,,true,,3441,948,61,100,null,0,2026,0
1734422711726,238,02_Search,200,,Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-55,text,true,,3441,948,61,100,https://petstore.octoperf.com/actions/Catalog.action,238,0,0
1734422704936,917,01_Open URL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-12,,true,,4986,603,61,100,null,0,6158,688
1734422711094,917,01_Open URL,200,,Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-12,text,true,,4986,603,61,100,https://petstore.octoperf.com/actions/Catalog.action,917,0,688
1734422709905,227,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-35,,true,,4081,948,61,100,null,0,2034,0
1734422711939,227,02_Search,200,,Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-35,text,true,,4081,948,61,100,https://petstore.octoperf.com/actions/Catalog.action,227,0,0
1734422711278,918,03_01_Open Url,200,"Number of samples in transaction : 1, number of failing samples : 0",scenario 3 - Add to cart -jp@gc - Ultimate Thread Group 3-3,,true,,4973,603,8,100,null,0,2,690
1734422711280,918,03_01_Open Url,200,,scenario 3 - Add to cart -jp@gc - Ultimate Thread Group 3-3,text,true,,4973,603,8,100,https://petstore.octoperf.com/actions/Catalog.action,917,0,690
1734422705034,956,01_Open URL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-50,,true,,4986,603,61,100,null,0,6218,719
1734422711251,956,01_Open URL,200,,Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-50,text,true,,4986,603,61,100,https://petstore.octoperf.com/actions/Catalog.action,956,0,719
1734422709953,236,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-16,,true,,3441,948,61,100,null,0,2064,0
1734422712017,236,02_Search,200,,Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-16,text,true,,3441,948,61,100,https://petstore.octoperf.com/actions/Catalog.action,236,0,0
1734422693301,916,02_01_Open Url,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-15,,true,,4973,603,30,100,null,0,18044,687
1734422711345,916,02_01_Open Url,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-15,text,true,,4973,603,30,100,https://petstore.octoperf.com/actions/Catalog.action,916,0,687
1734422705174,916,01_Open URL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-30,,true,,4986,603,61,100,null,0,6202,687
1734422711376,916,01_Open URL,200,,Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-30,text,true,,4986,603,61,100,https://petstore.octoperf.com/actions/Catalog.action,916,0,687
1734422710134,229,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-54,,true,,4081,948,61,100,null,0,2068,0
1734422712202,229,02_Search,200,,Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-54,text,true,,4081,948,61,100,https://petstore.octoperf.com/actions/Catalog.action,229,0,0
1734422708248,228,03_02_ Click on Sign In,200,"Number of samples in transaction : 1, number of failing samples : 0",scenario 3 - Add to cart -jp@gc - Ultimate Thread Group 3-4,,true,,4093,681,8,100,null,0,4093,0
1734422712341,228,03_02_ Click on Sign In,200,,scenario 3 - Add to cart -jp@gc - Ultimate Thread Group 3-4,text,true,,4093,681,8,100,https://petstore.octoperf.com/actions/Account.action;jsessionid=2009B596C16B812EC3E0E150DC1A0290?signonForm=,228,0,0
1734422705496,954,01_Open URL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-11,,true,,4986,603,61,100,null,0,6224,716
1734422711720,954,01_Open URL,200,,Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-11,text,true,,4986,603,61,100,https://petstore.octoperf.com/actions/Catalog.action,953,0,716
